dialogue_id,intra_dialogue_id,target,question,answer,candidates,probability
6,hamster,0,Is the item you have an animal?,Yes.,"['chipmunk', 'bear', 'hamster', 'zebra']",0.25
6,hamster,1,Does the animal you have belong to the rodent family?,Yes.,"['chipmunk', 'hamster']",0.5
6,hamster,2,Is the animal you have commonly found in the wild?,No.,['chipmunk'],1.0
6,hamster,3,Is the animal you have commonly kept as a pet?,Yes.,"['chipmunk', 'hamster.']",0.5
6,hamster,4,Is the animal you have small in size?,Yes.,"['chipmunk', 'hamster']",0.5
6,hamster,5,Is the animal you have known for its ability to climb trees?,No.,"['chipmunk', 'hamster']",0.5
6,hamster,6,Is the animal you have known for its cheek pouches?,Yes.,['chipmunk'],1.0
6,hamster,7,The item you have is a chipmunk.,"No, that's not correct.",['hamster'],1.0
6,hamster,8,I apologize for the mistake. Let me try again. Is the animal you have known for its ability to swim?,No.,['hamster'],1.0
6,hamster,9,I apologize again for the mistake. Let me try one more time. Is the animal you have small and fluffy?,Yes.,"['chipmunk', 'hamster']",0.5
6,hamster,10,The item you have is a hamster.,Yes! That's correct. Well done!,['hamster'],1.0
7,dolphin,0,Is the item something that is worn?,No.,"['dolphin', 'cougar', 'beaver', 'ox']",0.25
7,dolphin,1,Is the item a living creature?,Yes.,"['dolphin', 'cougar', 'beaver', 'ox']",0.25
7,dolphin,2,Does the creature live in water?,Yes.,"['dolphin', 'beaver']",0.5
7,dolphin,3,Is the creature a mammal?,Yes.,"['dolphin', 'beaver']",0.5
7,dolphin,4,Is the creature known for its intelligence?,Yes.,['dolphin'],1.0
7,dolphin,5,Is the creature commonly found in oceans or seas?,Yes.,"['dolphin', 'beaver.']",0.5
7,dolphin,6,"Is the creature typically larger in size, like a shark or a whale?",Yes.,['None'],1.0
7,dolphin,7,Is the creature a dolphin?,Yes! That's correct.,['dolphin'],1.0
8,deer,0,Is your item an animal?,Yes.,"['fawn', 'deer', 'gorilla', 'elephant']",0.25
8,deer,1,Is your item a mammal?,Yes.,"['fawn', 'deer', 'gorilla', 'elephant']",0.25
8,deer,2,Is your item a herbivore?,Yes.,"['fawn', 'deer']",0.5
8,deer,3,Is your item a fawn?,No.,"['deer', 'gorilla', 'elephant']",0.3333333333333333
8,deer,4,Is your item a deer?,Yes! That's correct.,['deer'],1.0
9,boots,0,Is the item an animal?,No.,"['boots', 'cape', 'swimsuit', 'trousers']",0.25
9,boots,1,Is the item a clothing accessory?,Yes.,"['cape', 'swimsuit']",0.5
9,boots,2,Is the item worn on the lower body?,Yes.,"['boots', 'trousers']",0.5
9,boots,3,Is the item typically worn on the legs?,Yes.,"['boots', 'trousers']",0.5
9,boots,4,Is the item typically made of fabric?,Yes.,['trousers'],1.0
9,boots,5,Is the item typically worn by males and females?,Yes.,['trousers'],1.0
9,boots,6,Is the item typically worn in warm weather?,No.,['trousers'],1.0
9,boots,7,Is the item typically worn as a protective covering?,Yes.,"['boots', 'trousers']",0.5
9,boots,8,Is the item typically worn outdoors?,Yes.,['trousers'],1.0
9,boots,9,Is the item typically worn to protect against rain or snow?,Yes.,"['boots', 'trousers']",0.5
9,boots,10,Is the item a cape?,No.,"['boots', 'fawn', 'seal', 'otter', 'porcupine.']",0.2
9,boots,11,Is the item a pair of trousers?,No.,['boots'],1.0
9,boots,12,Is the item a pair of boots?,Yes! That's correct.,['boots'],1.0
10,tie,0,Is the item you have an animal?,No.,"['belt', 'tie', 'scarf', 'pig', 'blouse']",0.2
10,tie,1,Is the item you have an accessory?,Yes.,"['belt', 'tie', 'scarf']",0.3333333333333333
10,tie,2,Is the item you have worn around the neck?,Yes.,"['tie', 'scarf']",0.5
10,tie,3,Is the item you have typically made of fabric?,Yes.,"['tie', 'scarf']",0.5
10,tie,4,Is the item you have typically long and narrow in shape?,Yes.,"['tie', 'scarf']",0.5
10,tie,5,Is the item you have typically worn for warmth?,Yes.,['scarf'],1.0
10,tie,6,Is the item you have worn mainly during colder seasons?,Yes.,"['scarf', 'tie']",0.5
10,tie,7,Is the item you have typically made of wool?,Yes.,"['scarf', 'tie']",0.5
10,tie,8,Is the item you have commonly used to cover the neck and shoulders?,Yes.,"['scarf', 'tie']",0.5
10,tie,9,Is the item you have typically patterned or plain in design?,It can be both patterned and plain.,['scarf'],1.0
10,tie,10,Is the item you have commonly worn by both men and women?,Yes.,"['scarf', 'tie']",0.5
10,tie,11,Is the item you have commonly seen in various colors?,Yes.,['scarf'],1.0
10,tie,12,Is the item you have a scarf?,No.,['tie'],1.0
10,tie,13,"My apologies for the misunderstanding. Based on the given information, the item you have is a tie.",Yes! That's correct. Well done! The item assigned to me is indeed a tie.,['tie'],1.0
11,belt,0,Is the item an animal?,No.,"['belt', 'pajamas', 'tie', 'blouse']",0.25
11,belt,1,Is the item a piece of clothing?,Yes.,"['belt', 'pajamas', 'tie', 'blouse.']",0.25
11,belt,2,Is the item typically worn on the upper body?,No.,"['belt', 'pajamas']",0.5
11,belt,3,Is the item typically worn on the lower body?,Yes.,"['belt', 'pajamas', 'tie', 'blouse']",0.25
11,belt,4,Is the item typically worn by men?,No.,['blouse'],1.0
11,belt,5,Is the item typically worn by women?,Yes.,"['belt', 'pajamas', 'tie', 'blouse']",0.25
11,belt,6,Is the item typically worn as sleepwear?,No.,"['belt', 'tie', 'blouse']",0.3333333333333333
11,belt,7,Is the item typically worn as formal attire?,No.,"['belt', 'pajamas', 'tie', 'blouse.']",0.25
11,belt,8,Is the item typically worn as casual attire?,Yes.,"['belt', 'pajamas', 'tie', 'blouse']",0.25
11,belt,9,Is the item a belt?,Yes! That's correct.,['belt'],1.0
12,seal,0,Is your item a living organism?,Yes.,"['seal', 'hamster', 'chipmunk', 'deer']",0.25
12,seal,1,Is your item a mammal?,Yes.,"['seal', 'hamster', 'chipmunk', 'deer']",0.25
12,seal,2,Is your item a domesticated animal?,No.,"['seal', 'deer.']",0.5
12,seal,3,Is your item a small animal?,No.,"['seal', 'hamster', 'chipmunk', 'deer.']",0.25
12,seal,4,Does your item have antlers?,No.,['deer'],1.0
12,seal,5,Is your item a seal?,Yes! That's correct.,['seal'],1.0
13,bear,0,Is the item you have in mind an animal?,Yes.,"['goat', 'bear', 'squirrel', 'zebra', 'crowbar']",0.2
13,bear,1,Does the animal you have in mind have stripes?,No.,"['goat', 'bear', 'squirrel', 'crowbar', 'rocket.']",0.2
13,bear,2,Is the animal you have in mind a mammal?,Yes.,"['goat', 'bear']",0.5
13,bear,3,Is the mammal you have in mind commonly found in the wild?,Yes.,['bear'],1.0
13,bear,4,Is the mammal you have in mind larger than a human?,Yes.,"['bear', 'zebra']",0.5
13,bear,5,Is the mammal you have in mind a herbivore?,No.,['bear'],1.0
13,bear,6,Is the mammal you have in mind a predator?,Yes.,['bear'],1.0
13,bear,7,Is the mammal you have in mind known for its agility and climbing skills?,No.,['bear'],1.0
13,bear,8,Is the mammal you have in mind known for its strength and power?,Yes.,['bear'],1.0
13,bear,9,Is the mammal you have in mind a bear?,Yes! That's correct.,['bear'],1.0
14,seal,0,Is the item you have in mind an animal?,Yes.,"['goat', 'seal', 'walrus', 'cougar']",0.25
14,seal,1,Does the animal you have in mind live in the water?,Yes.,"['seal', 'walrus']",0.5
14,seal,2,Is the animal you have in mind a marine mammal?,Yes.,"['seal', 'walrus']",0.5
14,seal,3,Is the animal you have in mind a walrus?,No.,"['seal', 'walrus']",0.5
14,seal,4,Is the animal you have in mind a seal?,Yes! That's correct.,['seal'],1.0
15,missile,0,Is the item alive?,No.,"['missile', 'stick', 'shotgun', 'bomb']",0.25
15,missile,1,Does the item explode?,Yes.,"['missile', 'bomb', 'shotgun']",0.3333333333333333
15,missile,2,Is the item smaller than a breadbox?,No.,"['missile', 'bomb']",0.5
15,missile,3,Is the item used as a weapon?,Yes.,"['missile', 'bomb']",0.5
15,missile,4,Is the item typically used by the military?,Yes.,['missile'],1.0
15,missile,5,Is the item a missile?,Yes! That's correct.,['missile'],1.0
16,spear,0,Is the item an animal?,No.,"['spear', 'pistol', 'dagger', 'shotgun']",0.25
16,spear,1,Is the item a weapon?,Yes.,"['spear', 'pistol', 'dagger', 'shotgun']",0.25
16,spear,2,Is the item handheld?,Yes.,"['spear', 'pistol', 'dagger', 'shotgun.']",0.25
16,spear,3,Is the item commonly used in close combat?,Yes.,"['spear', 'pistol', 'dagger', 'shotgun']",0.25
16,spear,4,Is the item a dagger?,No.,"['spear', 'pistol', 'dagger', 'shotgun.']",0.25
16,spear,5,Is the item a sword?,No.,"['spear', 'pistol', 'dagger', 'shotgun.']",0.25
16,spear,6,Is the item a spear?,Yes! That's correct.,['spear'],1.0
17,stick,0,Is the item alive?,No.,"['harpoon', 'stick', 'buffalo', 'cow', 'walrus', 'whip', 'seal', 'knife']",0.125
17,stick,1,Is the item used for hunting?,Yes.,"['harpoon', 'stick', 'whip', 'knife']",0.25
17,stick,2,Is the item made of wood?,Yes.,"['harpoon', 'stick']",0.5
17,stick,3,Is the item long and narrow?,Yes.,"['harpoon', 'stick']",0.5
17,stick,4,Is the item a harpoon?,No.,"['stick', 'whip']",0.5
17,stick,5,Is the item a whip?,No.,['stick'],1.0
17,stick,6,Is the item a stick?,Yes! That's correct.,['stick'],1.0
18,caribou,0,Is the item an animal?,Yes.,"['hamster', 'porcupine', 'elephant', 'caribou']",0.25
18,caribou,1,Is the item a mammal?,Yes.,"['hamster', 'porcupine', 'elephant', 'caribou.']",0.25
18,caribou,2,Is the item smaller than a human?,No.,"['elephant', 'caribou']",0.5
18,caribou,3,Is the item typically found in the wild?,Yes.,"['porcupine', 'elephant', 'caribou.']",0.3333333333333333
18,caribou,4,Is the item larger than a car?,Yes.,"['elephant', 'caribou']",0.5
18,caribou,5,Is the item a herbivore?,Yes.,"['elephant', 'caribou']",0.5
18,caribou,6,Is the item an elephant?,No.,['caribou'],1.0
18,caribou,7,Is the item a caribou?,Yes! That's correct.,['caribou'],1.0
19,zebra,0,Is the item you have chosen an animal?,Yes.,"['whale', 'sheep', 'zebra', 'otter']",0.25
19,zebra,1,Does the animal you have chosen live in the water?,No.,"['sheep', 'zebra', 'otter']",0.3333333333333333
19,zebra,2,Is the animal you have chosen a mammal?,Yes.,"['sheep', 'zebra']",0.5
19,zebra,3,Is the mammal you have chosen a herbivore?,No.,"['whale', 'zebra', 'otter']",0.3333333333333333
19,zebra,4,Is the mammal you have chosen a large land-dwelling animal?,Yes.,"['whale', 'zebra.']",0.5
19,zebra,5,Is the mammal you have chosen a member of the horse family?,No.,"['whale', 'sheep', 'zebra']",0.3333333333333333
19,zebra,6,Is the mammal you have chosen known for having distinctive black and white stripes?,Yes! That's correct.,['zebra'],1.0
20,cow,0,Is the item you have an animal?,Yes.,"['beaver', 'deer', 'seal', 'cow']",0.25
20,cow,1,Does the animal you have live in water?,No.,"['beaver', 'deer', 'cow']",0.3333333333333333
20,cow,2,Is the animal you have commonly found in forests?,No.,"['beaver', 'deer', 'seal', 'cow']",0.16666666666666666
20,cow,3,Is the animal you have typically found on farms?,Yes.,['cow'],1.0
20,cow,4,Is the animal you have larger than a human?,Yes.,"['beaver', 'deer', 'seal', 'cow']",0.16666666666666666
20,cow,5,Does the animal you have four legs?,Yes.,['cow'],1.0
20,cow,6,Is the animal you have typically used for milk or meat production?,Yes.,['cow'],1.0
20,cow,7,Is the animal you have a cow?,Yes! That's correct.,['deer'],1.0
21,avocado,0,Is the item you have in mind an animal?,No.,"['avocado', 'strawberry', 'pineapple', 'tangerine']",0.25
21,avocado,1,Is the item you have in mind a fruit?,Yes.,"['avocado', 'strawberry', 'pineapple', 'tangerine.']",0.25
21,avocado,2,Is the item you have in mind a citrus fruit?,No.,"['avocado', 'strawberry', 'pineapple', 'tangerine.']",0.25
21,avocado,3,Is the item you have in mind a tropical fruit?,Yes.,['pineapple'],1.0
21,avocado,4,Is the item you have in mind a pineapple?,No.,['avocado'],1.0
21,avocado,5,Is the item you have in mind a tangerine?,No.,"['avocado', 'strawberry']",0.5
21,avocado,6,Is the item you have in mind an avocado?,Yes! That's correct.,['avocado'],1.0
22,cherry,0,Is the item you have an animal?,No.,"['apple', 'pear', 'cherry', 'grapefruit']",0.25
22,cherry,1,Is the item you have a fruit?,Yes.,"['apple', 'pear', 'cherry', 'grapefruit']",0.25
22,cherry,2,Is the item you have a citrus fruit?,No.,"['apple', 'pear', 'cherry']",0.3333333333333333
22,cherry,3,Is the item you have a small fruit?,Yes.,"['apple', 'pear']",0.5
22,cherry,4,Is the item you have red in color?,Yes.,['None'],1.0
22,cherry,5,Is the item you have round in shape?,Yes.,"['apple', 'cherry']",0.5
22,cherry,6,Is the item you have a cherry?,Yes! That's correct.,['cherry'],1.0
23,tomato,0,Is the item you have an animal?,No.,"['tomato', 'rhubarb', 'tangerine', 'cranberry']",0.25
23,tomato,1,Is the item you have a fruit or vegetable?,Yes.,"['tomato', 'rhubarb', 'tangerine', 'cranberry']",0.25
23,tomato,2,Is the item you have a citrus fruit?,No.,"['tomato', 'rhubarb', 'tangerine', 'cranberry']",0.25
23,tomato,3,Is the item you have red in color?,Yes.,"['tomato', 'cranberry']",0.5
23,tomato,4,Is the item you have commonly used in cooking or recipes?,Yes.,['tomato'],1.0
23,tomato,5,Is the item you have known for its tart taste?,No.,"['tomato', 'rhubarb', 'cranberry']",0.3333333333333333
23,tomato,6,Is the item you have often eaten raw?,Yes.,"['tomato', 'rhubarb', 'cranberry']",0.3333333333333333
23,tomato,7,Is the item you have commonly used in salads?,Yes.,['rhubarb'],1.0
23,tomato,8,Is the item you have small and spherical in shape?,Yes.,"['tomato', 'cranberry']",0.5
23,tomato,9,Is the item you have a cranberry?,No.,['tomato'],1.0
23,tomato,10,Is the item you have a tomato?,Yes! That's correct.,['tomato'],1.0
24,mink,0,Is the item you have an animal?,Yes.,"['mink', 'cow', 'whale', 'squirrel']",0.25
24,mink,1,Is the item you have a mammal?,Yes.,"['mink', 'cow', 'whale']",0.3333333333333333
24,mink,2,Is the item you have a land mammal?,Yes.,"['mink', 'cow', 'squirrel']",0.3333333333333333
24,mink,3,Is the item you have a herbivore?,No.,['cow'],1.0
24,mink,4,Is the item you have a carnivorous land mammal?,Yes.,['squirrel'],1.0
24,mink,5,Is the item you have a mammal that is typically found in the ocean?,No.,['mink'],1.0
24,mink,6,Is the item you have a large carnivorous land mammal?,No.,"['mink', 'squirrel.']",0.5
24,mink,7,Is the item you have a small carnivorous land mammal?,Yes.,"['mink', 'squirrel.']",0.5
24,mink,8,Is the item you have a member of the weasel family?,Yes.,['mink'],1.0
24,mink,9,Is the item you have a mink?,Yes! That's correct.,['mink'],1.0
25,gorilla,0,Is the item you have in mind an animal?,Yes.,"['walrus', 'gorilla', 'sheep', 'dolphin']",0.25
25,gorilla,1,Is the animal you are thinking of a mammal?,Yes.,"['walrus', 'gorilla', 'sheep']",0.3333333333333333
25,gorilla,2,Is the mammal you are thinking of a land-dwelling animal?,Yes.,"['gorilla', 'sheep']",0.5
25,gorilla,3,Is the animal you are thinking of a herbivore?,No.,['walrus'],1.0
25,gorilla,4,Is the mammal you are thinking of a large animal?,Yes.,['gorilla'],1.0
25,gorilla,5,Is the mammal you are thinking of known for its intelligence?,Yes.,"['gorilla', 'sheep']",0.5
25,gorilla,6,Is the mammal you are thinking of typically found in the water?,No.,"['gorilla', 'sheep']",0.5
25,gorilla,7,Is the mammal you are thinking of often associated with jungles or forests?,Yes.,['gorilla'],1.0
25,gorilla,8,Is the mammal you are thinking of a gorilla?,Yes! That's correct.,['gorilla'],1.0
26,elk,0,Is your item an animal?,Yes.,"['otter', 'seal', 'elk', 'lion']",0.25
26,elk,1,Is your animal aquatic?,No.,"['elk', 'lion']",0.5
26,elk,2,Is your animal a mammal?,Yes.,"['otter', 'seal', 'elk', 'lion']",0.25
26,elk,3,Is your animal a herbivore?,Yes.,"['otter', 'elk']",0.5
26,elk,4,Is your animal larger than a dog?,Yes.,"['elk', 'lion']",0.5
26,elk,5,Is your animal found in Africa?,No.,"['elk', 'lion']",0.5
26,elk,6,Is your animal larger than a horse?,Yes.,"['elk', 'lion']",0.5
26,elk,7,Is your animal a herbivorous mammal larger than a horse that is found in North America?,Yes! That's correct.,['elk'],1.0
27,pumpkin,0,Is the item you have an animal?,No.,"['pumpkin', 'mushroom', 'cauliflower', 'peas']",0.25
27,pumpkin,1,Is the item you have a plant?,Yes.,"['pumpkin', 'mushroom', 'cauliflower', 'peas']",0.14285714285714285
27,pumpkin,2,Is the item you have a fruit or vegetable?,Yes.,"['pumpkin', 'mushroom', 'cauliflower', 'peas']",0.25
27,pumpkin,3,Is the item you have a fruit?,No.,"['pumpkin', 'mushroom', 'cauliflower', 'peas.']",0.25
27,pumpkin,4,Is the item you have a vegetable?,Yes.,"['pumpkin', 'mushroom', 'cauliflower', 'peas.']",0.25
27,pumpkin,5,Is the item you have a leafy green vegetable?,No.,"['gorilla', 'pumpkin', 'mushroom', 'cauliflower', 'peas']",0.125
27,pumpkin,6,Is the item you have a root vegetable?,No.,"['gorilla', 'pumpkin', 'mushroom', 'cauliflower', 'peas']",0.125
27,pumpkin,7,"Is the item you have a vegetable from the brassica family? (such as broccoli, cabbage, or kale)",No.,"['pumpkin', 'mushroom', 'cauliflower']",0.3333333333333333
27,pumpkin,8,Is the item you have a legume vegetable? (such as peas or beans),No.,"['pumpkin', 'mushroom', 'cauliflower', 'peas']",0.14285714285714285
27,pumpkin,9,Is the item you have a mushroom?,No.,"['pumpkin', 'cauliflower', 'peas]",0.16666666666666666
27,pumpkin,10,Is the item you have a cauliflower?,No.,"['gorilla', 'pumpkin', 'mushroom', 'cauliflower', 'peas']",0.125
27,pumpkin,11,Is the item you have a pumpkin?,Yes! That's correct.,['pumpkin'],1.0
28,beans,0,Is the item you are thinking of a food item?,Yes.,"['radish', 'beans', 'potato', 'pig', 'beets']",0.2
28,beans,1,Is the item you are thinking of a plant-based food item?,Yes.,"['radish', 'beans', 'potato', 'beets']",0.14285714285714285
28,beans,2,Is the item you are thinking of a root vegetable?,No.,"['beans', 'potato']",0.5
28,beans,3,Is the item you are thinking of a leafy vegetable?,No.,"['radish', 'beans', 'potato', 'beets']",0.25
28,beans,4,"Is the item you are thinking of a legume? (e.g., beans, peas, lentils)",Yes! That's correct.,['beans'],1.0
29,potato,0,Is the item a vegetable?,Yes.,"['eggplant', 'onions', 'pumpkin', 'potato']",0.25
29,potato,1,Is the item a root vegetable?,Yes.,"['onions', 'potato.']",0.5
29,potato,2,Is the item a potato?,Yes! That's correct.,['potato'],1.0
30,penguin,0,Is the item an article of clothing?,No.,"['trousers', 'cloak', 'boots', 'sweater']",0.25
30,penguin,1,Is the item a bird?,Yes.,"['buzzard', 'bluejay', 'vulture', 'penguin']",0.25
30,penguin,2,Does the item have a black and white coloration?,Yes.,"['buzzard', 'penguin']",0.5
30,penguin,3,Is the item a penguin?,Yes! That's correct.,['penguin'],1.0
31,stork,0,Is the item you have in mind a bird?,Yes.,"['eagle', 'parakeet', 'woodpecker', 'stork']",0.25
31,stork,1,Is the item you have in mind a bird of prey?,No.,"['parakeet', 'woodpecker', 'stork']",0.3333333333333333
31,stork,2,Is the item you have in mind a parakeet?,No.,"['eagle', 'parakeet', 'woodpecker', 'stork']",0.25
31,stork,3,Is the item you have in mind a woodpecker?,No.,"['eagle', 'parakeet', 'woodpecker', 'stork']",0.25
31,stork,4,Is the item you have in mind a stork?,Yes! That's correct.,['stork'],1.0
32,hawk,0,Is your item a bird?,Yes.,"['hawk', 'peacock', 'falcon', 'budgie']",0.25
32,hawk,1,Does your item have colorful and flamboyant feathers?,No.,['peacock'],1.0
32,hawk,2,Is your item a bird of prey?,Yes.,"['peacock']",1.0
32,hawk,3,Does your item have a hooked beak?,Yes.,"['hawk', 'falcon']",0.5
32,hawk,4,Is your item a falcon?,No.,"['hawk', 'peacock', 'falcon', 'budgie']",0.25
32,hawk,5,Is your item a hawk?,Yes! That's correct.,['hawk'],1.0
33,bra,0,Is the item you have a bird?,No.,"['chickadee', 'eagle', 'owl', 'raven']",0.14285714285714285
33,bra,1,Is the item you have an article of clothing?,Yes.,"['skirt', 'leotards', 'bra', 'boots']",0.25
33,bra,2,Is the item you have worn on the upper body?,Yes.,"['skirt', 'leotards', 'bra']",0.3333333333333333
33,bra,3,Is the item you have typically worn by women?,Yes.,"['skirt', 'leotards', 'bra']",0.3333333333333333
33,bra,4,Is the item you have typically worn as an undergarment?,Yes.,"['leotards', 'bra']",0.5
33,bra,5,Is the item you have smaller than a T-shirt?,Yes.,"['chickadee', 'eagle', 'owl', 'raven']",0.14285714285714285
33,bra,6,Is the item you have worn to support or enhance the breasts?,Yes.,['bra'],1.0
33,bra,7,Is the item you have a bra?,Yes! That's correct.,['bra'],1.0
34,belt,0,Is the item you have a living thing?,No.,"['rooster', 'belt', 'pajamas', 'slippers', 'woodpecker', 'parakeet', 'partridge', 'tie']",0.125
34,belt,1,Is the item you have an accessory?,Yes.,"['belt', 'tie']",0.5
34,belt,2,Can the item be worn around the waist?,Yes.,['belt'],1.0
34,belt,3,Is the item typically made of cloth?,No.,"['belt', 'tie']",0.5
34,belt,4,Is the item made of leather?,Yes.,"['belt', 'tie']",0.5
34,belt,5,Is the item typically used to hold up pants or a skirt?,Yes.,['belt'],1.0
34,belt,6,Is the item primarily used by men?,No.,"['belt', 'tie']",0.5
34,belt,7,Is the item typically worn with formal attire?,"It can be worn with formal attire, but it is not limited to formal attire.",['belt'],1.0
34,belt,8,Is the item a belt?,Yes! That's correct.,['belt'],1.0
35,bra,0,Is the item alive?,No.,"['penguin', 'shoes', 'goose', 'tie', 'peacock', 'belt', 'oriole', 'bra']",0.125
35,bra,1,Is the item a type of clothing?,Yes.,"['shoes', 'tie', 'belt', 'bra']",0.25
35,bra,2,Is the item usually worn on the upper body?,Yes.,"['tie', 'belt', 'bra']",0.3333333333333333
35,bra,3,Is the item typically worn by men?,No.,['peacock'],1.0
35,bra,4,Is the item typically worn by women?,Yes.,['bra'],1.0
35,bra,5,Does the item cover the chest area?,Yes.,['bra'],1.0
35,bra,6,Is the item typically worn for special occasions or events?,"It can be, but it is also commonly worn for everyday purposes.","['tie', 'bra']",0.5
35,bra,7,Is the item typically made of fabric?,Yes.,"['tie', 'bra']",0.5
35,bra,8,Does the item have straps?,Yes.,['bra'],1.0
35,bra,9,Is the item typically worn under clothing?,Yes.,['bra'],1.0
35,bra,10,"Based on your responses, the item assigned to you is a bra.",Yes! That's correct. Well done!,['bra'],1.0
36,penguin,0,Is the item you have assigned a living creature?,Yes.,"['duck', 'rooster', 'penguin', 'budgie']",0.25
36,penguin,1,Does the item you have assigned have wings?,Yes.,"['duck', 'budgie']",0.5
36,penguin,2,Is the item you have assigned able to fly?,No.,"['duck', 'rooster', 'budgie']",0.3333333333333333
36,penguin,3,"Based on your responses, the item you have assigned is a penguin.",Yes! That's correct. Well done!,['penguin'],1.0
37,penguin,0,Is the item a living creature?,Yes.,"['starling', 'pelican', 'penguin', 'ostrich']",0.25
37,penguin,1,Is the item a bird?,Yes.,"['starling', 'pelican']",0.5
37,penguin,2,Does the item have wings?,Yes.,"['starling', 'pelican', 'penguin', 'ostrich']",0.25
37,penguin,3,Is the item typically found in water?,Yes.,"['pelican', 'penguin']",0.5
37,penguin,4,Is the item a pelican?,No.,"['starling', 'penguin', 'ostrich']",0.3333333333333333
37,penguin,5,Is the item a starling?,No.,"['pelican', 'penguin']",0.5
37,penguin,6,Is the item a penguin?,Yes! That's correct.,"['shotgun', 'starling', 'pelican', 'rifle', 'penguin', 'ostrich']",0.16666666666666666
38,seagull,0,Is the candidate you have in mind a bird?,Yes.,"['stork', 'chickadee', 'owl', 'seagull']",0.25
38,seagull,1,Is the candidate you have in mind a stork?,No.,"['stork', 'chickadee', 'owl', 'seagull']",0.25
38,seagull,2,Is the candidate you have in mind an owl?,No.,"['chickadee', 'seagull']",0.5
38,seagull,3,Is the candidate you have in mind a chickadee?,No.,"['stork', 'chickadee', 'owl', 'seagull']",0.25
38,seagull,4,Is the candidate you have in mind a seagull?,Yes! That's correct.,['seagull'],1.0
39,whip,0,Is the item alive?,No.,"['whip', 'stick', 'catapult', 'bazooka']",0.25
39,whip,1,Is the item a household object?,No.,"['whip', 'stick', 'catapult', 'bazooka']",0.25
39,whip,2,Is the item usually made of metal?,No.,"['whip', 'stick', 'catapult', 'bazooka']",0.25
