dialogue_id,intra_dialogue_id,target,question,answer,p_distribuition
0,0,fox,Is your item a bird?,No.,"{'elk': 1.0, 'chicken': 0.6, 'robin': 0.0, 'starling': 0.0, 'fox': 1.0, 'partridge': 0.0, 'hamster': 1.0, 'buffalo': 1.0}","{'elk': 0.2173913043478261, 'chicken': 0.13043478260869565, 'robin': 0.0, 'starling': 0.0, 'fox': 0.2173913043478261, 'partridge': 0.0, 'hamster': 0.2173913043478261, 'buffalo': 0.2173913043478261}"
2,1,zebra,Is your item a mammal?,Yes.,"{'pelican': 0.8, 'bear': 1.0, 'zebra': 0.0, 'walrus': 1.0, 'vulture': 0.0, 'chickadee': 0.0, 'finch': 0.0, 'otter': 1.0}","{'pelican': 0.2105263157894737, 'bear': 0.2631578947368421, 'zebra': 0.0, 'walrus': 0.2631578947368421, 'vulture': 0.0, 'chickadee': 0.0, 'finch': 0.0, 'otter': 0.2631578947368421}"
2,2,zebra,Is your item a marine mammal?,No.,"{'pelican': 0.0, 'bear': 0.0, 'zebra': 0.2, 'walrus': 0.0, 'vulture': 0.0, 'chickadee': 0.0, 'finch': 1.0, 'otter': 1.0}","{'pelican': 0.0, 'bear': 0.0, 'zebra': 0.09090909090909091, 'walrus': 0.0, 'vulture': 0.0, 'chickadee': 0.0, 'finch': 0.45454545454545453, 'otter': 0.45454545454545453}"
2,3,zebra,Is your item a land mammal?,Yes.,"{'pelican': 1.0, 'bear': 0.4, 'zebra': 0.0, 'walrus': 1.0, 'vulture': 0.0, 'chickadee': 0.6, 'finch': 1.0, 'otter': 1.0}","{'pelican': 0.2, 'bear': 0.08, 'zebra': 0.0, 'walrus': 0.2, 'vulture': 0.0, 'chickadee': 0.12, 'finch': 0.2, 'otter': 0.2}"
2,4,zebra,Is your item a carnivore?,Yes.,"{'pelican': 0.0, 'bear': 1.0, 'zebra': 1.0, 'walrus': 1.0, 'vulture': 1.0, 'chickadee': 0.0, 'finch': 0.8, 'otter': 1.0}","{'pelican': 0.0, 'bear': 0.1724137931034483, 'zebra': 0.1724137931034483, 'walrus': 0.1724137931034483, 'vulture': 0.1724137931034483, 'chickadee': 0.0, 'finch': 0.13793103448275862, 'otter': 0.1724137931034483}"
2,5,zebra,Is your item a large carnivore?,Yes.,"{'pelican': 1.0, 'bear': 0.0, 'zebra': 0.0, 'walrus': 1.0, 'vulture': 1.0, 'chickadee': 0.0, 'finch': 1.0, 'otter': 0.0}","{'pelican': 0.25, 'bear': 0.0, 'zebra': 0.0, 'walrus': 0.25, 'vulture': 0.25, 'chickadee': 0.0, 'finch': 0.25, 'otter': 0.0}"
2,6,zebra,Is your item a bear?,No.,"{'pelican': 1.0, 'bear': 1.0, 'zebra': 1.0, 'walrus': 0.8, 'vulture': 1.0, 'chickadee': 0.0, 'finch': 1.0, 'otter': 1.0}","{'pelican': 0.14705882352941177, 'bear': 0.14705882352941177, 'zebra': 0.14705882352941177, 'walrus': 0.11764705882352942, 'vulture': 0.14705882352941177, 'chickadee': 0.0, 'finch': 0.14705882352941177, 'otter': 0.14705882352941177}"
2,7,zebra,Is your item a walrus?,No.,"{'pelican': 1.0, 'bear': 1.0, 'zebra': 0.0, 'walrus': 0.0, 'vulture': 0.0, 'chickadee': 1.0, 'finch': 1.0, 'otter': 1.0}","{'pelican': 0.2, 'bear': 0.2, 'zebra': 0.0, 'walrus': 0.0, 'vulture': 0.0, 'chickadee': 0.2, 'finch': 0.2, 'otter': 0.2}"
2,8,zebra,Is your item an otter?,No.,"{'pelican': 1.0, 'bear': 0.0, 'zebra': 1.0, 'walrus': 1.0, 'vulture': 0.2, 'chickadee': 1.0, 'finch': 1.0, 'otter': 0.0}","{'pelican': 0.1923076923076923, 'bear': 0.0, 'zebra': 0.1923076923076923, 'walrus': 0.1923076923076923, 'vulture': 0.038461538461538464, 'chickadee': 0.1923076923076923, 'finch': 0.1923076923076923, 'otter': 0.0}"
2,9,zebra,Is your item a vulture?,No.,"{'pelican': 1.0, 'bear': 0.4, 'zebra': 1.0, 'walrus': 1.0, 'vulture': 1.0, 'chickadee': 0.6, 'finch': 1.0, 'otter': 1.0}","{'pelican': 0.14285714285714285, 'bear': 0.05714285714285715, 'zebra': 0.14285714285714285, 'walrus': 0.14285714285714285, 'vulture': 0.14285714285714285, 'chickadee': 0.08571428571428572, 'finch': 0.14285714285714285, 'otter': 0.14285714285714285}"
2,10,zebra,Is your item a zebra?,Yes! That's correct.,"{'pelican': 1.0, 'bear': 1.0, 'zebra': 1.0, 'walrus': 0.0, 'vulture': 0.0, 'chickadee': 1.0, 'finch': 1.0, 'otter': 0.0}","{'pelican': 0.2, 'bear': 0.2, 'zebra': 0.2, 'walrus': 0.0, 'vulture': 0.0, 'chickadee': 0.2, 'finch': 0.2, 'otter': 0.0}"
