target,question,answer,question_confidence,question_observed_consistency,question_self_reflection,answer_confidence,answer_observed_consistency,answer_self_reflection,question_time,answer_time
pheasant,Is the bird you have in mind known for its distinctive call or song?,answerer: No.,0,0,0,0,0.8557075953483582,0.7938679933547974,1.0,0.9408109188079834,19.553955078125
pheasant,Is the bird you have in mind smaller than a pigeon?,answerer: No.,0,0,0,0,0.6891228065490723,0.7701754379272462,0.5,0.8563089370727539,21.80453085899353
pheasant,"Based on your responses, the item you have in mind is a pheasant.",Yes! That's correct. The item I have in mind is a pheasant. Well done!,0,0,0,0,0.8442241883277893,0.7774631261825562,1.0,0.9542248249053955,26.486602067947388
platypus,Is the item a living creature?,Yes.,0,0,0,0,0.5569129210878164,0.4741613158397377,0.75,0.980842113494873,13.924768924713135
platypus,Is the item a mammal?,Yes.,0,0,0,0,0.6795853099431843,0.5422647284902633,1.0,0.5112669467926025,11.70250391960144
platypus,Does the item live on land?,Yes.,0,0,0,0,0.8650145845599473,0.8071636922284962,1.0,0.7030951976776123,12.660041809082031
platypus,Is the item primarily found in water?,No.,0,0,0,0,0.8419588990807533,0.7742269986867905,1.0,0.7415390014648438,15.025434732437134
platypus,Is the item known for having a long neck?,No.,0,0,0,0,0.9064680244922637,0.8663828921318053,1.0,0.6558430194854736,17.03580617904663
platypus,Is the item known for being able to swim?,answerer: Yes.,0,0,0,0,0.6298540852069855,0.6855058360099793,0.5,0.817547082901001,21.27643394470215
platypus,Is the item known for its playful behavior?,answerer: No.,0,0,0,0,0.5001850228309631,0.7145500326156616,0.0,0.7336409091949463,19.392027139663696
platypus,"Based on your responses, the item that you have is a seal.","No, the item assigned to me is not a seal.",0,0,0,0,0.5391655678749083,0.7702365255355834,0.0,0.6707801818847656,24.184813737869263
platypus,Apologies for the incorrect guess. Please provide any additional information that may help me identify the item.,"Apologies for the confusion. Here's some additional information: The item assigned to me is a unique mammal that is known for its duck-bill, webbed feet, and ability to lay eggs.",0,0,0,0,0.7434986770153047,0.6335695385932923,1.0,1.0748748779296875,23.34656524658203
platypus,"Thank you for providing additional information. Based on the description you provided, the item assigned to you must be a platypus.",Yes! That's correct. The item assigned to me is a platypus. Well done!,0,0,0,0,0.8067177557945252,0.7238825082778931,1.0,1.210702896118164,24.39841890335083
platypus,Is the item you have chosen an animal?,Yes.,0,0,0,0,0.7706231102440506,0.6723187289200723,1.0,0.7251260280609131,14.020107984542847
platypus,Does the animal you have chosen have fur?,Yes.,0,0,0,0,0.8363151165340097,0.7661644521914424,1.0,0.7368550300598145,12.53504204750061
platypus,Is the animal you have chosen typically found in the water?,Yes.,0,0,0,0,0.9654507513046264,0.9506439304351806,1.0,0.6152379512786865,14.76454782485962
platypus,Is the animal you have chosen known for having a flat bill?,Yes! That's correct. The item I have chosen is a platypus.,0,0,0,0,0.713118978023529,0.5901699686050415,1.0,1.099362850189209,15.719747066497803
mongoose,Is the item you are assigned an animal?,Yes.,0,0,0,0,0.8539503121376039,0.7913575887680054,1.0,0.5296518802642822,11.317949771881104
mongoose,Is the animal you are assigned a mammal?,Yes.,0,0,0,0,0.9397238473892212,0.9138912105560303,1.0,0.7799079418182373,14.097887992858887
