target,question,answer
socks ,Is the item you were assigned a type of jacket?,no
socks ,Is the item you were assigned worn on the lower body?,no
socks ,Is the item you have a type of socks?,yes
socks ,"Great! That means you have one of the following types of socks: ordinary sock, sport sock, dress sock, woolly sock or compression sock. Am I correct?",yes
blouse ,Is it a type of footwear?,no
blouse ,Is it a top or an outerwear?,yes
swimsuit ,Does the item you're thinking of have sleeves?,no
swimsuit ,"Ah, I see. Is the item you're thinking of a swimsuit?",yes
missile ,Is the weapon a projectile weapon?,yes
missile ,Is the item an animal?,no
spear ,Is the weapon handheld?,yes
spear ,Is the weapon a type of blade?,no
stick ,Is the item made of wood?,yes
stick ,Is it a stick?,yes
whip ,"Based on the answers you provided, the tool you are thinking of is a whip.",yes
whip ,Is the item you are thinking of a tool?,yes
bomb ,Is the item a bomb?,yes
bomb ,Is the item a firearm?,no
stick ,Is the item you are thinking of made of wood?,yes
stick ,Is the item you are thinking of an animal?,no
grenade ,Is the item you have selected an automatic machine gun?,no
grenade ,Is the item you have selected a revolver?,no
spear ,Is the item you are thinking of made of wood?,yes
spear ,Is the item you have chosen a type of clothing?,no
missile ,Is the item you have selected a type of explosive?,yes
missile ,Is the item you have selected typically worn around the waist?,no
spear ,Is the weapon a stick or a spear?,yes
spear ,Is the weapon held with both hands?,no
grenade ,Is your item a weapon?,yes
grenade ,Is your weapon a gun?,no
bomb ,Is the weapon you're thinking of a type of stick?,yes
bomb ,Is the item you're thinking of a fruit?,no
missile ,Is your item a type of food?,no
missile ,Is your item a handheld weapon?,no
rocket ,Is the item you are thinking of a natural object?,no
rocket ,Is the item you are thinking of a spaceship?,yes
axe ,Is it a bladed weapon?,yes
axe ,Is it a handheld weapon?,yes
avocado ,Is your item a fruit?,yes
avocado ,Is your fruit green in color?,yes
cherry ,Is the item you are thinking of typically red or green?,no
cherry ,Is the item you are thinking of a fruit?,yes
tomato ,"Is the fruit you are thinking of relatively small, about the size of a ping pong ball?",no
tomato ,Is the item you are thinking of a fruit?,yes
pumpkin ,Is the item a vegetable?,yes
pumpkin ,Is the item a pumpkin?,yes
rhubarb ,Is it eggplant?,no
rhubarb ,Is it a kind of vegetable?,yes
tangerine ,Is the item you are thinking of a type of fruit?,yes
tangerine ,Is the fruit green in color when it is ripe?,no
nectarine ,Does your fruit have a pit?,yes
nectarine ,"Based on your answers, the fruit you are thinking of is nectarine, right?",yes
avocado ,Is the item you have an avocado?,yes
avocado ,Is it green?,yes
apple ,Is the fruit you have chosen commonly used in pies?,yes
apple ,Is the fruit you have chosen round-shaped?,yes
cherry ,Does the fruit you were assigned have a pit?,yes
cherry ,Is the fruit you were assigned red in color?,yes
coconut ,Does the fruit you are thinking of have a hard outer shell or husk?,yes
coconut ,Is the item you are thinking of a fruit?,yes
rhubarb ,Is your item a fruit?,no
rhubarb ,Is your item a tool?,no
rhubarb ,Is the item a fruit?,no
rhubarb ,Is the item a tool?,no
tomato ,"Your item is probably a tomato, is that correct?",yes
tomato ,Is your item round in shape?,yes
lime ,Is the item yellow when ripe?,no
lime ,Is it a large fruit?,no
banana ,Is the fruit you have assigned yellow?,yes
banana ,Is the item you have assigned a fruit?,yes
coconut ,Is the item you have usually long and thin?,yes
coconut ,Is the item you have made of wax?,yes
beans ,Is your item a type of leafy green vegetable?,no
beans ,Is your item commonly eaten raw in salads or as a snack?,no
potato ,Is the item an animal?,no
potato ,Is the item a type of vegetable?,yes
potato ,Is the vegetable you were assigned commonly used in salads?,no
potato ,"Great, you were assigned a potato!",yes
corn ,Is the item you have a plant?,yes
corn ,Is it a type of corn?,yes
broccoli ,Is it green in color?,yes
broccoli ,Is the item a vegetable?,yes
onions ,"The item you have is a type of onion, is that correct?",yes
onions ,Is the item you have green in color?,no
cauliflower ,"The vegetable you have assigned must be cauliflower, is that correct?",yes
cauliflower ,Does the vegetable you have assigned have leaves?,no
potato ,Is the item you have a turnip?,no
potato ,Is it a type of potato?,yes
peas ,Is the vegetable you were assigned usually cooked before eaten?,yes
peas ,"From the list of candidates given, I believe the vegetable you were assigned is either cabbage or cauliflower. Is it cabbage?",no
mushroom ,"Wonderful! So, by the answers you have given, the item assigned to you is mushroom.",yes
mushroom ,"Great! To narrow it down, does your item have a cap and stem?",yes
carrot ,"Based on the hints given, I believe the item you have is a zucchini. Is that correct?",no
carrot ,Is the item you have usually consumed cooked rather than raw?,no
pickle ,"Based on your previous answers, I believe the item you are thinking of is a radish. Is that correct?",no
pickle ,Is your item usually eaten raw?,yes
onions ,"I am sorry about that. Based on the color and other clues, I think the item might be onions. Is that correct?",yes
onions ,Is the item a vegetable?,yes
