dialogue_id,intra_dialogue_id,question,answer,target,canditates,dist
10,5,Is the item you have typically worn for warmth?,Yes.,tie,"['cougar', 'belt', 'otter', 'tie', 'scarf', 'seal', 'pig', 'blouse']","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
10,6,Is the item you have worn mainly during colder seasons?,Yes.,tie,"['cougar', 'belt', 'otter', 'tie', 'scarf', 'seal', 'pig', 'blouse']","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
10,7,Is the item you have typically made of wool?,Yes.,tie,"['cougar', 'belt', 'otter', 'tie', 'scarf', 'seal', 'pig', 'blouse']","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
10,8,Is the item you have commonly used to cover the neck and shoulders?,Yes.,tie,"['cougar', 'belt', 'otter', 'tie', 'scarf', 'seal', 'pig', 'blouse']","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
10,9,Is the item you have typically patterned or plain in design?,It can be both patterned and plain.,tie,"['cougar', 'belt', 'otter', 'tie', 'scarf', 'seal', 'pig', 'blouse']","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
10,10,Is the item you have commonly worn by both men and women?,Yes.,tie,"['cougar', 'belt', 'otter', 'tie', 'scarf', 'seal', 'pig', 'blouse']","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
10,11,Is the item you have commonly seen in various colors?,Yes.,tie,"['cougar', 'belt', 'otter', 'tie', 'scarf', 'seal', 'pig', 'blouse']","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
10,12,Is the item you have a scarf?,No.,tie,"['cougar', 'belt', 'otter', 'tie', 'scarf', 'seal', 'pig', 'blouse']","[0, 0, 0, 0, 0, 0, 0, 0]"
10,13,"My apologies for the misunderstanding. Based on the given information, the item you have is a tie.",Yes! That's correct. Well done! The item assigned to me is indeed a tie.,tie,"['cougar', 'belt', 'otter', 'tie', 'scarf', 'seal', 'pig', 'blouse']","[0, 0, 0, 0, 0, 0, 0, 0]"
11,4,Is the item typically worn by men?,No.,belt,"['walrus', 'chimp', 'belt', 'donkey', 'platypus', 'pajamas', 'tie', 'blouse']","[0, 0, 0, 0, 0, 0, 0, 0]"
11,5,Is the item typically worn by women?,Yes.,belt,"['walrus', 'chimp', 'belt', 'donkey', 'platypus', 'pajamas', 'tie', 'blouse']","[0, 0, 0, 0, 0, 0, 0, 0]"
11,6,Is the item typically worn as sleepwear?,No.,belt,"['walrus', 'chimp', 'belt', 'donkey', 'platypus', 'pajamas', 'tie', 'blouse']","[0, 0, 0, 0, 0, 0, 0, 0]"
11,7,Is the item typically worn as formal attire?,No.,belt,"['walrus', 'chimp', 'belt', 'donkey', 'platypus', 'pajamas', 'tie', 'blouse']","[0, 0, 0, 0, 0, 0, 0, 0]"
11,8,Is the item typically worn as casual attire?,Yes.,belt,"['walrus', 'chimp', 'belt', 'donkey', 'platypus', 'pajamas', 'tie', 'blouse']","[0, 0, 0, 0, 0, 0, 0, 0]"
18,4,Is the item larger than a car?,Yes.,caribou,"['hamster', 'pumpkin', 'porcupine', 'strawberry', 'grapefruit', 'elephant', 'caribou', 'plum']","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
18,5,Is the item a herbivore?,Yes.,caribou,"['hamster', 'pumpkin', 'porcupine', 'strawberry', 'grapefruit', 'elephant', 'caribou', 'plum']","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
18,6,Is the item an elephant?,No.,caribou,"['hamster', 'pumpkin', 'porcupine', 'strawberry', 'grapefruit', 'elephant', 'caribou', 'plum']","[0, 0, 0, 0, 0, 0, 0, 0]"
19,3,Is the mammal you have chosen a herbivore?,No.,zebra,"['whale', 'honeydew', 'banana', 'sheep', 'zebra', 'cranberry', 'otter', 'tangerine']","[0, 0, 0, 0, 0, 0, 0, 0]"
19,4,Is the mammal you have chosen a large land-dwelling animal?,Yes.,zebra,"['whale', 'honeydew', 'banana', 'sheep', 'zebra', 'cranberry', 'otter', 'tangerine']","[0, 0, 0, 0, 0, 0, 0, 0]"
19,5,Is the mammal you have chosen a member of the horse family?,No.,zebra,"['whale', 'honeydew', 'banana', 'sheep', 'zebra', 'cranberry', 'otter', 'tangerine']","[0, 0, 0, 0, 0, 0, 0, 0]"
19,6,Is the mammal you have chosen known for having distinctive black and white stripes?,Yes! That's correct.,zebra,"['whale', 'honeydew', 'banana', 'sheep', 'zebra', 'cranberry', 'otter', 'tangerine']","[0, 0, 0, 0, 0, 0, 0, 0]"
21,3,Is the item you have in mind a tropical fruit?,Yes.,avocado,"['avocado', 'cheetah', 'strawberry', 'fawn', 'pineapple', 'giraffe', 'deer', 'tangerine']","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
25,3,Is the animal you are thinking of a herbivore?,No.,gorilla,"['broccoli', 'walrus', 'gorilla', 'mushroom', 'potato', 'peas', 'sheep', 'dolphin']","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
26,7,Is your animal a herbivorous mammal larger than a horse that is found in North America?,Yes! That's correct.,elk,"['otter', 'seal', 'celery', 'asparagus', 'tomato', 'elk', 'lion', 'pumpkin']","[0, 0, 0, 0, 0, 0, 0, 0]"
40,4,Is the item handheld?,Yes.,bomb,"['rifle', 'grenade', 'stone', 'turkey', 'flamingo', 'bomb', 'robin', 'penguin']","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
44,4,Is the item you have a small bird?,No.,woodpecker,"['pineapple', 'rhubarb', 'woodpecker', 'stork', 'swan', 'orange', 'canary', 'cherry']","[0, 0, 0, 0, 0, 0, 0, 0]"
45,8,Is the item green in color?,No.,rhubarb,"['falcon', 'owl', 'rhubarb', 'goose', 'cherry', 'apple', 'rooster', 'grapefruit']","[0, 0, 0, 0, 0, 0, 0, 0]"
45,9,Is the item yellow in color?,No.,rhubarb,"['falcon', 'owl', 'rhubarb', 'goose', 'cherry', 'apple', 'rooster', 'grapefruit']","[0, 0, 0, 0, 0, 0, 0, 0]"
45,10,Is the item a purple or violet color?,No.,rhubarb,"['falcon', 'owl', 'rhubarb', 'goose', 'cherry', 'apple', 'rooster', 'grapefruit']","[0, 0, 0, 0, 0, 0, 0, 0]"
45,11,Is the item brown in color?,No.,rhubarb,"['falcon', 'owl', 'rhubarb', 'goose', 'cherry', 'apple', 'rooster', 'grapefruit']","[0, 0, 0, 0, 0, 0, 0, 0]"
45,12,Is the item white in color?,No.,rhubarb,"['falcon', 'owl', 'rhubarb', 'goose', 'cherry', 'apple', 'rooster', 'grapefruit']","[0, 0, 0, 0, 0, 0, 0, 0]"
45,14,Is the item a vegetable that is commonly yellowish-green in color?,No.,rhubarb,"['falcon', 'owl', 'rhubarb', 'goose', 'cherry', 'apple', 'rooster', 'grapefruit']","[0, 0, 0, 0, 0, 0, 0, 0]"
45,15,Is the item a vegetable that is commonly purple in color?,No.,rhubarb,"['falcon', 'owl', 'rhubarb', 'goose', 'cherry', 'apple', 'rooster', 'grapefruit']","[0, 0, 0, 0, 0, 0, 0, 0]"
54,1,Is your item worn on the upper body?,No.,cape,"['blouse', 'camisole', 'tomahawk', 'crowbar', 'gown', 'spear', 'harpoon', 'cape']","[0, 0, 0, 0, 0, 0, 0, 0]"
54,3,Is your item an accessory such as jewelry or a bag?,Yes.,cape,"['blouse', 'camisole', 'tomahawk', 'crowbar', 'gown', 'spear', 'harpoon', 'cape']","[0, 0, 0, 0, 0, 0, 0, 0]"
54,4,Is your item typically worn on the wrist?,No.,cape,"['blouse', 'camisole', 'tomahawk', 'crowbar', 'gown', 'spear', 'harpoon', 'cape']","[0, 0, 0, 0, 0, 0, 0, 0]"
54,5,Is your item typically worn around the neck?,No.,cape,"['blouse', 'camisole', 'tomahawk', 'crowbar', 'gown', 'spear', 'harpoon', 'cape']","[0, 0, 0, 0, 0, 0, 0, 0]"
54,6,Is your item typically used to carry belongings?,No.,cape,"['blouse', 'camisole', 'tomahawk', 'crowbar', 'gown', 'spear', 'harpoon', 'cape']","[0, 0, 0, 0, 0, 0, 0, 0]"
54,7,Is your item typically worn on the head?,No.,cape,"['blouse', 'camisole', 'tomahawk', 'crowbar', 'gown', 'spear', 'harpoon', 'cape']","[0, 0, 0, 0, 0, 0, 0, 0]"
54,8,Is your item typically worn on the fingers?,No.,cape,"['blouse', 'camisole', 'tomahawk', 'crowbar', 'gown', 'spear', 'harpoon', 'cape']","[0, 0, 0, 0, 0, 0, 0, 0]"
54,10,Is your item typically worn around the waist?,No.,cape,"['blouse', 'camisole', 'tomahawk', 'crowbar', 'gown', 'spear', 'harpoon', 'cape']","[0, 0, 0, 0, 0, 0, 0, 0]"
55,2,Is the item you have in mind worn on the lower body?,No.,cape,"['bazooka', 'trousers', 'shield', 'whip', 'boots', 'crowbar', 'pants', 'cape']","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
55,3,Is the item you have in mind typically worn on the feet?,No.,cape,"['bazooka', 'trousers', 'shield', 'whip', 'boots', 'crowbar', 'pants', 'cape']","[0, 0, 0, 0, 0, 0, 0, 0]"
58,4,Is the item you have a catapult?,No.,spear,"['pants', 'robe', 'trousers', 'stick', 'spear', 'camisole', 'catapult', 'cannon']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
58,5,Is the item you have a cannon?,No.,spear,"['pants', 'robe', 'trousers', 'stick', 'spear', 'camisole', 'catapult', 'cannon']","[0, 0, 0, 0, 0, 0, 0, 0]"
61,14,Is your item usually made of denim?,Yes.,trousers,"['camisole', 'pants', 'rhubarb', 'grapefruit', 'pajamas', 'trousers', 'pumpkin', 'tomato']","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
61,15,"Is your item typically referred to as ""jeans""?",Yes! That's correct.,trousers,"['camisole', 'pants', 'rhubarb', 'grapefruit', 'pajamas', 'trousers', 'pumpkin', 'tomato']","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
62,6,Is your item meant to be worn indoors?,No.,socks,"['avocado', 'honeydew', 'bra', 'socks', 'cantaloupe', 'pear', 'cloak', 'coat']","[0, 0, 0, 0, 0, 0, 0, 0]"
62,7,Is your item typically worn by men?,No.,socks,"['avocado', 'honeydew', 'bra', 'socks', 'cantaloupe', 'pear', 'cloak', 'coat']","[0, 0, 0, 0, 0, 0, 0, 0]"
63,4,Is the fruit you have a cranberry?,No.,apple,"['cranberry', 'pants', 'boots', 'apple', 'pumpkin', 'plum', 'trousers', 'bra']","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
63,5,Is the fruit you have commonly eaten raw?,Yes.,apple,"['cranberry', 'pants', 'boots', 'apple', 'pumpkin', 'plum', 'trousers', 'bra']","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
68,1,Is the item you're thinking of worn on the upper part of the body?,No.,swimsuit,"['beans', 'pickle', 'swimsuit', 'beets', 'nightgown', 'shoes', 'mushroom', 'camisole']","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
68,4,Is the item you're thinking of typically worn by men?,Yes.,swimsuit,"['beans', 'pickle', 'swimsuit', 'beets', 'nightgown', 'shoes', 'mushroom', 'camisole']","[0, 0, 0, 0, 0, 0, 0, 0]"
68,7,Is the item you're thinking of a type of underwear or undergarment?,No.,swimsuit,"['beans', 'pickle', 'swimsuit', 'beets', 'nightgown', 'shoes', 'mushroom', 'camisole']","[0, 0, 0, 0, 0, 0, 0, 0]"
82,3,Is the item round in shape?,No.,peas,"['bomb', 'cabbage', 'stone', 'peas', 'beans', 'rock', 'rifle', 'cauliflower']","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
86,3,Is the item you're thinking of round in shape?,Yes.,coconut,"['lemon', 'beets', 'orange', 'beans', 'mushroom', 'coconut', 'raspberry', 'radish']","[0, 0, 0, 0, 0, 0, 0, 0]"
86,5,Is the item you're thinking of yellow in color?,Yes.,coconut,"['lemon', 'beets', 'orange', 'beans', 'mushroom', 'coconut', 'raspberry', 'radish']","[0, 0, 0, 0, 0, 0, 0, 0]"
86,6,Is the item you're thinking of often used in cooking or baking?,Yes.,coconut,"['lemon', 'beets', 'orange', 'beans', 'mushroom', 'coconut', 'raspberry', 'radish']","[0, 0, 0, 0, 0, 0, 0, 0]"
86,7,Is the item you're thinking of a lemon?,No.,coconut,"['lemon', 'beets', 'orange', 'beans', 'mushroom', 'coconut', 'raspberry', 'radish']","[0, 0, 0, 0, 0, 0, 0, 0]"
86,8,Is the item you're thinking of a coconut?,Yes! That's correct.,coconut,"['lemon', 'beets', 'orange', 'beans', 'mushroom', 'coconut', 'raspberry', 'radish']","[0, 0, 0, 0, 0, 0, 0, 0]"
